Name,S-BERT_Similarity,Jaccard_Similarity,Combined_Score
W,0.36596015,0.028037383177570093,0.46194801085463194
BAR,0.45486844,0.017152658662092625,0.46193616994453746
ACI,0.40041924,0.023809523809523808,0.46187841409728636
EG,0.3905254,0.025,0.46173210978507995
BAM,0.3934946,0.02459016393442623,0.46140279721041194
ATR,0.34168705,0.030927835051546393,0.46137461545541114
TU,0.36283645,0.02830188679245283,0.46111120356703705
ATV,0.44716626,0.017937219730941704,0.46081262409954327
VH,0.37870455,0.02631578947368421,0.4608007882770739
VZ,0.3607754,0.02849002849002849,0.4606557708350342
CLB,0.3330543,0.03184713375796178,0.46039896121450286
AZC,0.39123496,0.024719101123595506,0.4603543974174542
BBN,0.3897438,0.024896265560165973,0.4603163109280756
BGV,0.32064366,0.03333333333333333,0.46016495148340864
BIT,0.32064366,0.03333333333333333,0.46016495148340864
CNA,0.3816079,0.025793650793650792,0.45961687687843567
BMV,0.38762283,0.025048169556840076,0.459551496060138
BPP,0.40925884,0.022388059701492536,0.4594684615953645
CNQ,0.4407742,0.018518518518518517,0.4593845435866603
ADG,0.30369756,0.03529411764705882,0.4593587488286635
BZP,0.38400844,0.025423728813559324,0.4590767423985368
BCY,0.38737234,0.025,0.45899181604385375
HB,0.37915713,0.025974025974025976,0.45876759848037324
BCU,0.48305395,0.013245033112582781,0.45868789841797175
BNY,0.44062734,0.018433179723502304,0.4586509947952587
BRJ,0.44062734,0.018433179723502304,0.4586509947952587
BRV,0.44062734,0.018433179723502304,0.4586509947952587
AWB,0.45161927,0.017045454545454544,0.45835119106552813
BUQ,0.44122785,0.0182648401826484,0.45797768232484926
BCN,0.37200567,0.026737967914438502,0.4579762821210259
LQ,0.3640768,0.027692307692307693,0.4578611717590919
UN,0.3912869,0.024355300859598854,0.45781656606149534
CDJ,0.41265818,0.021739130434782608,0.457815427624661
CBL,0.41265818,0.021739130434782608,0.457815427624661
CHY,0.41265818,0.021739130434782608,0.457815427624661
HG,0.3998146,0.023310023310023312,0.457806486002493
MV,0.40419728,0.022757697456492636,0.4576939178598294
CHR,0.3976897,0.023529411764705882,0.45751738351934096
CBE,0.3976897,0.023529411764705882,0.45751738351934096
CDC,0.3976897,0.023529411764705882,0.45751738351934096
UD,0.41778556,0.02103960396039604,0.45730495210921407
BPR,0.40723827,0.022315202231520222,0.45719510151418846
BKV,0.41063106,0.021897810218978103,0.4571802898045004
BJE,0.41063106,0.021897810218978103,0.4571802898045004
BHG,0.41063106,0.021897810218978103,0.4571802898045004
HR,0.42402864,0.02023121387283237,0.45699119330141585
ARU,0.46112937,0.01568627450980392,0.4569661802871554
AAT,0.3937757,0.023923444976076555,0.4569133822427412
YK,0.3937757,0.023923444976076555,0.4569133822427412
AHB,0.3937757,0.023923444976076555,0.4569133822427412
AHC,0.3937757,0.023923444976076555,0.4569133822427412
CFQ,0.38276762,0.02527075812274368,0.456912253458147
CFC,0.32386458,0.032467532467532464,0.45681703787345385
CCK,0.32386458,0.032467532467532464,0.45681703787345385
CEI,0.32386458,0.032467532467532464,0.45681703787345385
CIX,0.32386458,0.032467532467532464,0.45681703787345385
AKS,0.37519568,0.026170798898071626,0.45672180274958124
HD,0.38382217,0.02510460251046025,0.45664905943132345
ABC,0.42549896,0.02,0.45662743878364564
LU,0.34669748,0.02962962962962963,0.45651186369083546
BWH,0.4159671,0.02113821138211382,0.4564246476471908
QR,0.4558149,0.016260162601626018,0.45642199201312494
BVM,0.43000454,0.019390581717451522,0.4562163259183931
MI,0.3401508,0.03038674033149171,0.4561976989000541
X,0.43592557,0.018617021276595744,0.45586998399267803
QQ,0.42979643,0.019345238095238096,0.45571354570842926
ACW,0.29598123,0.03571428571428571,0.4556357341153281
CIK,0.39083773,0.024096385542168676,0.4555878866867847
CBX,0.39083773,0.024096385542168676,0.4555878866867847
CDV,0.39083773,0.024096385542168676,0.4555878866867847
AAC,0.3658765,0.027131782945736434,0.45544553154198697
XV,0.3658765,0.027131782945736434,0.45544553154198697
AGK,0.3658765,0.027131782945736434,0.45544553154198697
AAY,0.44191885,0.01781970649895178,0.45541777976903774
AYZ,0.3875901,0.024444444444444446,0.4552366163465712
VB,0.42759517,0.01953125,0.45512109994888306
VC,0.42759517,0.01953125,0.45512109994888306
CBU,0.38716903,0.024456521739130436,0.4549564224222432
CIH,0.38716903,0.024456521739130436,0.4549564224222432
CAJ,0.38716903,0.024456521739130436,0.4549564224222432
CDS,0.38716903,0.024456521739130436,0.4549564224222432
TR,0.4477855,0.017006802721088437,0.4547448336672621
MU,0.37376097,0.026066350710900472,0.4547333212542872
BAH,0.41746846,0.020710059171597635,0.4546896020336264
ES,0.34506807,0.029556650246305417,0.4545776229186598
CF,0.3620598,0.027472527472527472,0.45454775959580807
COK,0.43832967,0.018115942028985508,0.4544017323549243
BBH,0.48226523,0.012658227848101266,0.4538360978229136
CDL,0.46393326,0.014893617021276596,0.4537751586132861
CIA,0.46393326,0.014893617021276596,0.4537751586132861
CBN,0.46393326,0.014893617021276596,0.4537751586132861
CKO,0.40793985,0.021739130434782608,0.45371474727340366
R,0.4135347,0.021052631578947368,0.45370306291078266
ER,0.38652548,0.024336283185840708,0.45354342850963625
ALO,0.38522047,0.02444987775061125,0.45321576293639854
AUF,0.37566772,0.02558139534883721,0.45294729632000585
CAO,0.379307,0.02512562814070352,0.452874210012618
AIX,0.38102406,0.024875621890547265,0.4525914573254277
RX,0.40434453,0.0220125786163522,0.4525315452671651
CKR,0.35188216,0.028409090909090908,0.4523520307107405
CGW,0.41594803,0.020560747663551402,0.4523080851541501
CAK,0.48229304,0.012422360248447204,0.4521856075488262
CDU,0.482293,0.012422360248447204,0.4521855777465038
CIJ,0.482293,0.012422360248447204,0.4521855777465038
CBW,0.482293,0.012422360248447204,0.4521855777465038
BBK,0.43641233,0.018032786885245903,0.4521449637803875
BLP,0.3973412,0.022813688212927757,0.4521328652992901
BHZ,0.3973412,0.022813688212927757,0.4521328652992901
BJX,0.3973412,0.022813688212927757,0.4521328652992901
APC,0.3867393,0.024081115335868188,0.45191755425491864
XC,0.3866179,0.024,0.45123613514900207
WO,0.3866179,0.024,0.45123613514900207
ZG,0.3866179,0.024,0.45123613514900207
CNY,0.3237834,0.03167420814479638,0.451113893084936
AZQ,0.39326566,0.023166023166023165,0.45109243745048994
FP,0.3473431,0.02875399361022364,0.4508559660789685
JX,0.4619915,0.014705882352941176,0.45075465616057897
SF,0.41953188,0.01990049751243781,0.45073500939862643
CGX,0.4450086,0.016778523489932886,0.4507106888614245
AAU,0.5145043,0.008264462809917356,0.45065916845621157
AHD,0.5145043,0.008264462809917356,0.45065916845621157
YL,0.5145043,0.008264462809917356,0.45065916845621157
JQ,0.37411165,0.025423728813559324,0.45047549413422405
JP,0.4527973,0.015789473684210527,0.4504575261316801
AUJ,0.34525186,0.028953229398663696,0.45045304554607923
AVJ,0.32905638,0.030927835051546393,0.450397347236417
HP,0.40057617,0.022167487684729065,0.45035633303848976
KG,0.3672166,0.02622950819672131,0.4502040555828907
JJ,0.40040004,0.022151898734177215,0.4500925867617885
BWC,0.36811972,0.02608695652173913,0.44997684245524194
SH,0.36386612,0.02654867256637168,0.4495582568961962
AAS,0.35614318,0.027472527472527472,0.4494056668910351
AQR,0.36228448,0.026690391459074734,0.4491898587165778
AXR,0.39605093,0.022556390977443608,0.44918468294287084
BBO,0.4212628,0.019455252918287938,0.44907810460732606
ANP,0.3902068,0.023255813953488372,0.4490714954775433
LR,0.33931988,0.029484029484029485,0.44906628200697374
BBA,0.4083015,0.02099737532808399,0.4487625813077441
EM,0.33834225,0.029556650246305417,0.448732255010182
COC,0.3213426,0.031630170316301706,0.44867992499739007
NX,0.34084833,0.02922077922077922,0.4485255840536836
AEK,0.39587003,0.022435897435897436,0.44817197154729793
