Resume_ID,ML_Prediction_KFold,ML_Probability_KFold,S-BERT_Similarity,TF-IDF_Jaccard_Combined,True_Label
1559,1,0.9,0.32680404,0.02002792381362439,1
1968,1,0.9,0.321241,0.02082696503096953,1
633,1,0.9,0.35605428,0.016109974122424712,1
1609,1,0.9,0.32680404,0.02002792381362439,1
1898,1,0.9,0.37801772,0.029910559918348734,1
1411,1,0.9,0.3589335,0.007953516924861244,1
622,1,0.9,0.35605428,0.016109974122424712,1
2055,1,0.9,0.3088309,0.004408173589714667,1
1543,1,0.89,0.40085876,0.026646174807014224,1
1151,1,0.89,0.30847648,0.02148296382633892,1
803,1,0.89,0.39960337,0.03821697680619883,1
102,1,0.89,0.3368134,0.047098442179708974,1
800,1,0.89,0.3184015,0.037488567233335136,1
1932,1,0.89,0.2981788,0.029017976541544636,1
1222,1,0.89,0.316981,0.02042901186545408,1
2318,1,0.89,0.40588573,0.019622679792640575,1
805,1,0.89,0.36899388,0.03581112607048338,1
254,1,0.89,0.37495822,0.018014754025456,1
730,1,0.89,0.3097964,0.02164077451965009,1
196,1,0.88,0.34331864,0.005788779252966265,1
1210,1,0.88,0.2963711,0.008342278983122689,1
735,1,0.88,0.40198058,0.02103940521085016,1
605,1,0.88,0.40325773,0.043896655013589,1
727,1,0.88,0.38337827,0.03465220005832613,1
1750,1,0.88,0.35123703,0.01910958723325691,1
4,1,0.88,0.2963711,0.008342278983122689,1
769,1,0.88,0.37229568,0.006396869902344556,1
1239,1,0.88,0.35175806,0.01465166238890514,1
810,1,0.88,0.39261994,0.04893923805188373,1
1850,1,0.88,0.35123703,0.01910958723325691,1
1282,1,0.88,0.34814832,0.020927006518246537,1
1906,1,0.88,0.3985152,0.032352860337166986,1
1757,1,0.88,0.3160798,0.010131172798786546,1
972,1,0.88,0.37347716,0.014890221840294773,1
815,1,0.88,0.43767196,0.026925624157452067,1
1857,1,0.88,0.3160798,0.010131172798786546,1
1079,1,0.88,0.39344388,0.023946552579626794,1
786,1,0.88,0.39990646,0.01198244358162542,1
837,1,0.88,0.44936606,0.00800292080731266,1
603,1,0.88,0.372542,0.014377657478593361,1
1908,1,0.87,0.3677491,0.032396565382043274,1
1451,1,0.87,0.3812759,0.004146976902970437,1
1772,1,0.87,0.2986465,0.00412849676413481,1
742,1,0.87,0.31164798,0.031038939594857852,1
1972,1,0.87,0.34026593,0.012863725290438425,1
526,1,0.87,0.3772119,0.02062895959257592,1
1054,1,0.87,0.31957078,0.023316223668383852,1
1481,1,0.87,0.3306383,0.023716632694697752,1
1558,1,0.87,0.3094282,0.023569807632781693,1
807,1,0.87,0.33400428,0.03954401107528046,1
1206,1,0.87,0.30528164,0.006590652771292813,1
58,1,0.87,0.30528164,0.006590652771292813,1
2335,1,0.87,0.44412974,0.006944478420481319,1
611,1,0.87,0.3247756,0.013080911726420865,1
1608,1,0.87,0.3094282,0.023569807632781693,1
813,1,0.87,0.37460566,0.017052079249357394,1
60,1,0.87,0.3175792,0.02512817157791914,1
1872,1,0.87,0.2986465,0.00412849676413481,1
881,1,0.87,0.37118596,0.02346042992870962,1
1914,1,0.86,0.48610955,0.009332717292202823,1
849,1,0.86,0.36318535,0.01038355487879666,1
1894,1,0.86,0.3114209,0.026619759086045604,1
743,1,0.86,0.30595687,0.026917819584922953,1
2049,1,0.86,0.3209613,0.006281729854433673,1
1454,1,0.86,0.31226146,0.010502125227935715,1
831,1,0.86,0.33420116,0.020438238608591563,1
